book_id,title,source_type,item_kind,genre_original,primary_domain,tags,rag_relevance,language_hint,suggested_search_mode,paid_price,ordered_at,embedding_text
bk_48c28da70e,アプローチから企画提案・入札まで 民間企業が自治体から仕事を受注する方法,book,book_or_ebook,ビジネス書,その他,紙/通常本,low,ja,structured_search,2530,2025-11-06T03:02:45.579Z,"title: アプローチから企画提案・入札まで 民間企業が自治体から仕事を受注する方法
genre: ビジネス書
primary_domain: その他
tags: 紙/通常本"
bk_a749074510,現代数理統計学の基礎（共立講座 数学の魅力 11）,book,book_or_ebook,"数学, 経済学, 学術書",統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,3520,2025-11-10T17:14:12.169Z,"title: 現代数理統計学の基礎（共立講座 数学の魅力 11）
genre: 数学, 経済学, 学術書
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_26a18d6544,経済分析のための統計的方法,book,book_or_ebook,"経済学, 統計学, 学術書",統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,3960,2021-04-07T16:36:38Z,"title: 経済分析のための統計的方法
genre: 経済学, 統計学, 学術書
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_d119c70e1e,新・明解C言語で学ぶアルゴリズムとデータ構造 (明解シリーズ),book,book_or_ebook,IT,IT・プログラミング,紙/通常本;IT,low,ja,rag_or_structured,744,2025-10-30T07:33:59.834Z,"title: 新・明解C言語で学ぶアルゴリズムとデータ構造 (明解シリーズ)
genre: IT
primary_domain: IT・プログラミング
tags: 紙/通常本;IT"
bk_b2b2380861,入門 ベイズ統計学 (ファイナンス・ライブラリー 10),book,book_or_ebook,"統計学, 学術書",統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,1796,2025-02-01T03:41:35.543Z,"title: 入門 ベイズ統計学 (ファイナンス・ライブラリー 10)
genre: 統計学, 学術書
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_b086931f8b,独習Git,book,book_or_ebook,IT,IT・プログラミング,紙/通常本;IT,low,ja,rag_or_structured,1419,2026-01-27T10:04:09.733Z,"title: 独習Git
genre: IT
primary_domain: IT・プログラミング
tags: 紙/通常本;IT"
bk_fd7b5e92d6,マクロ経済学 新版 (New Liberal Arts Selection),book,book_or_ebook,"学術書, 経済学",経済・金融,洋書;紙/通常本;経済,low,en_or_mixed,structured_search,1897,2024-12-18T06:24:10.510Z,"title: マクロ経済学 新版 (New Liberal Arts Selection)
genre: 学術書, 経済学
primary_domain: 経済・金融
tags: 洋書;紙/通常本;経済"
bk_9520bfe5b9,解析演習 (基礎数学 7),book,book_or_ebook,"数学, 学術書",数学・数理,紙/通常本;数学,low,ja,structured_search,1663,2025-02-01T08:03:12.950Z,"title: 解析演習 (基礎数学 7)
genre: 数学, 学術書
primary_domain: 数学・数理
tags: 紙/通常本;数学"
bk_c397d91151,標準 ベイズ統計学,book,book_or_ebook,"学術書, 経済学",統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,4730,2025-05-13T11:10:10.423Z,"title: 標準 ベイズ統計学
genre: 学術書, 経済学
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_5c74763dee,新装改訂版 現代数理統計学,book,book_or_ebook,"数学, 統計学, 学術書",統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,2970,2025-05-13T11:10:05.339Z,"title: 新装改訂版 現代数理統計学
genre: 数学, 統計学, 学術書
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_597febd43b,産業組織:理論と実証の接合,book,book_or_ebook,"経済学, 学術書",経済・金融,紙/通常本;経済,low,ja,structured_search,4950,2025-05-13T11:09:59.963Z,"title: 産業組織:理論と実証の接合
genre: 経済学, 学術書
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_f5219c77fb,【アプリ付】2025年版 出る順宅建士 一問一答○×1000肢問題集　【アプリ付/合格テキストとリンク/赤シート付】(宅地建物取引士) (出る順宅建士シリーズ),book,book_or_ebook,"資格, 不動産",法律・会計・資格,紙/通常本;法律/会計/資格,low,ja,structured_search,2200,2025-07-26T14:47:36.988Z,"title: 【アプリ付】2025年版 出る順宅建士 一問一答○×1000肢問題集　【アプリ付/合格テキストとリンク/赤シート付】(宅地建物取引士) (出る順宅建士シリーズ)
genre: 資格, 不動産
primary_domain: 法律・会計・資格
tags: 紙/通常本;法律/会計/資格"
bk_3d4be48fa5,テスト駆動開発,book,book_or_ebook,"IT, プログラミング",IT・プログラミング,紙/通常本;IT;クラウド運用;テスト,medium,ja,rag_or_structured,3080,2026-01-25T17:09:05.031Z,"title: テスト駆動開発
genre: IT, プログラミング
primary_domain: IT・プログラミング
tags: 紙/通常本;IT;クラウド運用;テスト"
